Degree Code,Name,ID,Start Term
NB700N,Minor in Music (NB),1365,Fall 2011
NB702CJ,Major in Music - Composition Option (NB),6243,Fall 2022
NB702IJ,Major in Music - Music Education Instrumental Option (NB),6265,Fall 2022
NB702PJ,Major in Music - Performance - Instrumental Option (NB),6266,Fall 2022
NB702SJ,Major in Music - Performance - Voice Option (NB),6267,Fall 2022
NB702VJ,Major in Music - Music Education Vocal General - Voice Option (NB),6381,Fall 2022
NB702ZJ,Major in Music - Jazz Option (NB),6268,Fall 2022
NB704J,"Major in Ecology, Evolution and Natural Resources (NB)",1395,Fall 2012
NB7051J,Major in Nursing - Blackwood Program (NB),7003,Fall 2022
NB705B8J,Major in Nursing - Accelerated Bachelor of Science in Nursing (ABS) for Students Who Have a Bachelor's Degree (NB),4722,Fall 2020
NB705J,Major in Nursing (NB),5441,Fall 2020
NB705MJ,School Nurse Program (NB),2701,Fall 2017
NB705WJ,Major in Nursing - RN-BS Degree (NB),1405,Spring 2017
NB707N,Minor in Nutrition - SEBS (NB),1409,Spring 2018
NB708N,Minor in Culinary Nutrition (NB),6881,Spring 2023
NB709AJ,"Major in Nutritional Sciences, Dietetics Option (NB)",6202,Fall 2022
NB709BJ,"Major in Nutritional Sciences, Food Service Administration Option (NB)",6681,Spring 2023
NB709CJ,"Major in Nutritional Sciences, Community Nutrition Option (NB)",6981,Spring 2023
NB709DJ,Major in Nutritional Sciences - Pre-Dietetic (NB),6123,Fall 2022
NB709J,"Major in Nutritional Sciences, Biomedical Nutrition Option (NB)",7301,Summer 2023
NB709PJ,Major in Nutritional Sciences - Pre-Nutritional Sciences (NB),1433,Spring 2018
NB713N,Minor in Organizational Leadership (NB),8802,Spring 2025
NB720J,Major in Pharmacy (NB),3001,Fall 2018
NB723N,Minor in Persian (NB),387,Fall 2018
NB730J,Major in Philosophy (NB),6026,Fall 2022
NB730N,Minor in Philosophy (NB),1446,Spring 2013
NB750DJ,Major in Physics - Professional Option (NB),1448,Fall 2017
NB750GJ,Major in Physics - Engineering Dual Degree Option (NB),1449,Fall 2003
NB750J,Major in Physics - General Option (NB),1451,Fall 2018
NB750KJ,Major in Physics - Planetary Option (NB),1453,Fall 2018
NB750N,Minor in Physics (NB),1454,Fall 2003
NB750PJ,"Major in Physics, Applied Option (NB)",8803,Spring 2025
NB762DJ,Major in Planning and Public Policy - Direct Admits Option (NB),6921,Summer 2023
NB765X,Certificate in Social Strategies for Environmental Protection (NB),1470,Fall 2007
NB776H,"Major in Plant Science, Plant Agriculture and Horticulture (NB)",8721,Fall 2024
NB776N,Minor in Plant Science (SEBS) (NB),1486,Fall 2018
NB776NJ,"Major in Plant Science, Natural Products (NB)",3342,Summer 2019
NB776RJ,"Major in Plant Science, General Plant Biology Option (NB)",1493,Spring 2018
NB790J,Major in Political Science (NB),5342,Fall 2021
NB790N,Minor in Political Science (NB),1499,Summer 2015
NB791X,Certificate in Quantitative Political Science Methods (NB),8804,Spring 2025
NB792N,"Minor in Philosophy, Politics, and Economics (PPE) (NB)",2767,Spring 2019
NB793N,Minor in Government and Business (NB),5164,Summer 2021
NB799J,Major in Supply Chain Management (NB),8150,Fall 2024
NB810J,Major in Portuguese (NB),1505,Fall 2008
NB810N,Minor in Portuguese (NB),1506,Fall 2003
NB828N,Minor in Public Garden Management - SEBS (NB),5341,Summer 2021
NB830HJ,Major in Psychology - Honors (NB),1515,Fall 2017
NB830J,Major in Psychology (NB),7687,Spring 2024
NB830N,Minor in Psychology (NB),1525,Spring 2015
NB832DJ,Major in Public Health - Direct Admits Option (NB),3142,Fall 2019
NB832J,Major in Public Health (NB),2901,Fall 2019
NB832N,Minor in Public Health (NB),1541,Fall 2016
NB833DJ,Major in Public Policy - Direct Admits Option (NB),7721,Spring 2024
NB833J,Major in Public Policy (NB),7702,Spring 2024
NB833N,Minor in Public Policy (NB),7701,Spring 2024
NB835N,Minor in Developmental Psychology (NB),3084,Fall 2019
NB840J,Major in Religion (NB),1559,Spring 2013
NB840N,Minor in Religion (NB),2542,Winter Session 2019
NB843N,Minor in Public Administration and Management (NB),6924,Summer 2023
NB851X,Certificate in Real Estate from the RBS (NB),1565,Spring 2018
NB860J,Major in Russian (NB),1570,Fall 2015
NB860N,Minor in Russian (NB),1574,Spring 2016
NB861N,Minor in Slavic and Eastern European Studies (NB),7983,Spring 2024
NB870X,Certificate in Turfgrass Science - SEBS (NB),3387,Summer 2019
NB880X,Certificate in Urban Planning (NB),1581,Fall 2016
NB886N,Minor in Science Communication - SEBS (NB),6901,Spring 2023
NB888N,Minor in Sexualities Studies (NB),1586,Fall 2015
NB904N,Minor in Social Justice (NB),1588,Fall 2015
NB910J,Major in Social Work (NB),6061,Summer 2022
NB920J,Major in Sociology (NB),5301,Fall 2021
NB920N,Minor in Sociology (NB),5721,Spring 2022
NB925N,Minor in South Asian Studies (NB),1602,Fall 2017
NB940FJ,Major in Spanish - Spanish Intensive Option (NB),1609,Fall 2009
NB940J,Major in Spanish (NB),1611,Fall 2005
NB940N,Minor in Spanish (NB),1613,Fall 2007
NB955J,Major in Sport Management (NB),4861,Fall 2021
NB955N,Minor in Sport Management (NB),6021,Summer 2022
NB957N,Minor in Sustainable Global Food Systems - SEBS (NB),3481,Spring 2019
NB960J,Major in Statistics (NB),1618,Fall 2009
NB960N,Minor in Statistics (NB),8401,Fall 2024
NB961J,Major in Statistics - Mathematics (NB),1623,Fall 2015
NB962N,Minor in Sustainability - SEBS (NB),4401,Summer 2020
NB965J,Major in Theater Arts (for the B.A.) (NB),8261,Fall 2024
NB965N,Minor in Theater Arts (NB),8262,Fall 2024
NB966AJ,Major in Theater Arts - Acting Concentration (for the B.F.A.) (NB),6269,Fall 2022
NB966AJ,Major in Theater Arts - Acting Concentration (for the B.F.A.) (NB),7881,Fall 2023
NB966HJ,Major in Theater Arts - Costume Technology Concentration (for the B.F.A.) (NB),6270,Fall 2022
NB966LJ,Major in Theater Arts - Lighting Design Concentration (for the B.F.A.) (NB),6271,Fall 2022
NB966MJ,Major in Theater Arts - Stage Management Concentration (for the B.F.A.) (NB),6272,Fall 2022
NB966NJ,Major in Theater Arts - Costume Design Concentration (for the B.F.A.) (NB),6273,Fall 2022
NB966RJ,Major in Theater Arts - Technical Direction Concentration (for the B.F.A.) (NB),6274,Fall 2022
NB966SJ,Major in Theater Arts - Set Design Concentration (for the B.F.A.) (NB),6275,Fall 2022
NB966UJ,Major in Theater Arts - Dramaturgy Concentration (for the B.F.A.) (NB),7401,Fall 2023
NB971DJ,Major in Urban Planning and Design - Direct Admits Option (NB),7642,Spring 2024
NB971J,Major in Urban Planning and Design (NB),7641,Spring 2024
NB971N,Minor in Urban Planning and Design (NB),4961,Summer 2021
NB972N,Minor in Urban Forestry (SEBS) (NB),1584,Spring 2019
NB973N,Minor in Turkish (NB),388,Fall 2018
NB975N,Minor in Urban Studies (NB),1660,Spring 2018
NB975X,Certificate in Urban/Community Forestry (NB),1662,Fall 2015
NB988J,Major in Women's and Gender Studies (NB),3881,Spring 2020
NB988N,Minor in Women's and Gender Studies (NB),1665,Fall 2003
NB988X,Certificate in Women's Global Health Leadership (NB),2001,Fall 2018
NBDRC,Douglass Residential College,5722,Fall 2021
NBE1E,Non-Degree Endorsement Program in ESL (NB),1668,Spring 2018
NBG1E,Graduate Certificate in Gifted Education (NB),1669,Spring 2018
NBHC01H,Honors College-SAS,5962,Summer 2022
NBHC07H,Honors College-MGSA,5963,Summer 2022
NBHC11H,Honors College-SEBS,5964,Summer 2022
NBHC14H,Honors College-SOE,5965,Summer 2022
NBHC30H,Honors College-PHARM,5966,Summer 2022
NBHC33H,Honors College-RBS,5967,Summer 2022
NBHP01H,Honors Program -SAS,7602,Spring 2024
NBHP11H,Honors Program -SEBS,5661,Fall 2021
NBHP33H,Honors Program -SAS,7603,Spring 2024
NBS1E,Special Education Endorsement (can be added to any 5-yr Teacher Ed Program) (NB),1670,Spring 2018
NBT1E,Graduate Certificate in Educational Technology (NB),1671,Spring 2018
01,The SAS Core Curriculum (NB),2721,Summer 2019
07,Mason Gross School of the Arts (NB),13,Summer 2009
10,Edward J. Bloustein School of Planning and Public Policy General Education Requirements (NB),18,Fall 2017
11,School of Environmental and Biological Sciences (SEBS) Core Curriculum (NB),2742,Summer 2019
14,School of Engineering General Education Requirements (NB),29,Fall 2013
15,Graduate School of Education (NB),30,Fall 2014
21,Newark College of Arts and Sciences (NCAS) Core Curriculum (NK),36,Fall 2019
25,Nursing General Education Requirements (NB) (NK),37,Fall 2003
29,Rutgers Business School - Newark Core Curriculum (NK),43,Fall 2019
33,Rutgers Business School - New Brunswick General Education Requirements: The Rutgers Core Curriculum (NB),2841,Summer 2019
37,School of Management and Labor Relations (SMLR) General Education Requirements (NB),53,Fall 2017
40,School of Public Affairs and Administration (SPAA) Core Curriculum (NK),57,Fall 2019
47,School of Criminal Justice (SCJ) Core Curriculum (NK),62,Fall 2019
50,CCAS General Education Requirements (CA),71,Fall 2017
52,Camden School of Business Requirements (CA),8241,Fall 2023
62,Newark University College Core Curriculum (NK),84,Fall 2019
64,University College Camden General Ed Requirements (CA),2842,Fall 2018
77,School of Nursing - New Brunswick (NB),7986,Fall 1982
80,Continuing Education (NB),90,Spring 2012
90,Continuing Education (NB),91,Spring 2017
93,Rutgers Summer/Winter Session - Newark (NK),92,Spring 2017
96,Rutgers Summer/Winter Session - Camden (CA),93,Spring 2017
CA000J,non - matriculated (CA),94,Fall 2003
CA000SJ,Major-High School Student (CA),6724,Fall 2015
CA001J,Undeclared (CA),95,Fall 2003
CA001SJ,Major Pre-Social Work (CA),6725,
CA004J,Engineering Transfer Program (CA),96,Fall 2003
CA005J,engineering - 5yr (CA),97,Fall 2003
CA006J,pre - business (CA),98,Fall 2003
CA010J,Major in Accounting (CA),7962,Fall 2023
CA010N,Minor in Accounting (CA),105,Fall 2016
CA010TJ,Major in Accounting-Tax Accounting (CA),8661,Fall 2023
CA014J,Major in Africana Studies (CA),107,Fall 2015
CA014N,Minor in Africana Studies (CA),109,Fall 2015
CA050N,Minor in American Studies (CA),110,Fall 2003
CA065N,Minor in Animation (CA),111,Fall 2003
CA070N,Minor in Anthropology (CA),113,Fall 2013
CA080GJ,Major in Art - Graphic Design Option (CA),114,Spring 2017
CA080IJ,Major in Art - Painting Option (CA),115,Spring 2015
CA080J,Major in Art - Studio Arts Option (CA),117,Fall 2005
CA080JJ,"Visual Art, Painting and Drawing Concentration (CA)",6726,
CA080KJ,Major in Art - Photography Option (CA),118,Spring 2015
CA080MJ,Major in Art - Sculpture Option (CA),119,Spring 2015
CA080N,Minor in Art (CA),120,Fall 2003
CA080PJ,Major in Art - Art History Option (CA),121,Fall 2005
CA080QJ,Major in Art - Electronic Arts Option (CA),123,Fall 2005
CA080TJ,"Visual Art, Art Therapy Concentration (CA)",6727,
CA080UJ,Major in Art - Animation Option (CA),124,Spring 2015
CA081DJ,Professional Visual Arts-Graphic Design (BFA Degree) (CA),8663,Fall 2023
CA081UJ,Professional Visual Arts-Animation (BFA Degree) (CA),8664,Fall 2023
CA082J,Major in Art History (CA),125,Spring 2017
CA082N,Minor in Art History (CA),126,Fall 2003
CA082N,Minor in Art History (CA),7004,Fall 2023
CA115J,Major in Biochemistry (CA),127,Fall 2003
CA120BJ,Major in Biology-Ecology and Evolution(CA),8666,Fall 2023
CA120J,Major in Biology (CA),131,Fall 2017
CA120N,Minor in Biology (CA),132,Fall 2003
CA121J,Major in Computational and Integrative Biology - Integrative Option (CA),135,Fall 2014
CA121MJ,Major in Biology-Computational and Integrative Molecular (CA),136,Spring 2017
CA121SJ,Major in Biology-Computational and Integrative System (CA),137,Spring 2017
CA124J,Major in Biomedical Technology (CA),139,Fall 2009
CA130N,Minor in Botany (CA),140,Fall 2003
CA135B1J,Major in Business Administration-Business Analytics (CA),8667,Fall 2023
CA135B2J,Major in Business Administration-Corporate Finance (CA),8668,Fall 2023
CA135B3J,Major in Business Administration-Digital Marketing (CA),8669,Fall 2023
CA135B4J,Major in Business Administration-Human Resource Management (CA),8670,Fall 2023
CA135J,Major in Business Administration (CA),8061,Fall 2023
CA135N,Minor in Business Administration (CA),143,Fall 2016
CA141N,Minor in Business Analytics (CA),8676,
CA14E,Teacher of Elementary School(CA),146,Fall 2012
CA15E,Teacher of Art (CA),149,Fall 2012
CA160AJ,Major in Chemistry B.A. - Traditional Chemistry Program (CA),4841,Fall 2016
CA160BJ,Major in Chemistry - Biochemistry Program (CA),3541,Fall 2003
CA160BJ,Major in Chemistry - Biochemistry B.A. (CA),4322,Fall 2019
CA160BS,Major in Chemistry - Biochemistry B.S. (CA),4382,Fall 2019
CA160J,Major in Chemistry - Traditional Chemistry Program (CA),150,Fall 2003
CA160JJ,Major in Chemistry - American Chemical Society Certification Program (CA),151,Fall 2003
CA160KJ,Major in Chemistry - Biochemistry Program (CA),152,Fall 2003
CA160LJ,Major in Chemistry - Chemistry - Business Program (CA),153,Fall 2003
CA160N,Minor in Chemistry (CA),154,Fall 2003
CA160SJ,Major in Chemistry B.S. - Traditional Chemistry Program (CA),5004,Fall 2020
CA163J,Major in Childhood Studies (CA),158,Fall 2017
CA163J,Major in Childhoods Studies (CA),8701,Spring 2025
CA163N,Minor in Childhood Studies (CA),161,Fall 2017
CA16E,Teacher of English (CA),164,Fall 2012
CA17E,Teacher of Speech Arts and Dramatics (CA),167,Fall 2012
CA184N,Minor in Classical Studies (CA),168,Fall 2006
CA192N,Minor in Communication (CA),169,Fall 2003
CA192N,Minor in Communication (CA),2903,Fall 2017
CA198J,Major in Computer Science - BA (CA),172,Fall 2013
CA198N,Minor in Computer Science (CA),174,Fall 2013
CA198N,Minor in Computer Science (CA),4925,Spring 2021
CA198SJ,Major in Computer Science - BS (CA),177,Fall 2010
CA19E,Teacher of French (CA),180,Fall 2012
CA2023J,Criminal Justice 5 Year Program (CA),6728,
CA202J,Major in Criminal Justice (CA),183,Fall 2016
CA202J,Major in Criminal Justice (CA),5002,Fall 2020
CA202J,Major in Criminal Justice (CA),5763,Fall 2021
CA202N,Minor in Criminal Justice (CA),186,Fall 2015
CA208N,Minor in Digital Arts (CA),6723,
